date,homeTeam,awayTeam,combinedTeams,Venue
2/12/19,Djurgårdens IF,Timrå IK,Djurgårdens IF-Timrå IK,"Hovet, Johanneshov"
2/12/19,Rögle BK,Örebro HK,Rögle BK-Örebro HK,Lindab Arena
2/12/19,HV 71,Skellefteå AIK,HV 71-Skellefteå AIK,Kinnarps Arena
2/12/19,IF Malmö Redhawks,Färjestad BK,IF Malmö Redhawks-Färjestad BK,Malmö Arena
2/12/19,Frölunda HC,Växjö Lakers HC,Frölunda HC-Växjö Lakers HC,Scandinavium
2/14/19,Luleå HF,IF Malmö Redhawks,Luleå HF-IF Malmö Redhawks,Coop Norrbotten Arena
2/14/19,Skellefteå AIK,Mora IK,Skellefteå AIK-Mora IK,Skellefteå Kraft Arena
2/14/19,Växjö Lakers HC,Brynäs IF,Växjö Lakers HC-Brynäs IF,Vida Arena
2/14/19,Linköping HC,Rögle BK,Linköping HC-Rögle BK,Saab Arena
2/14/19,Timrå IK,Frölunda HC,Timrå IK-Frölunda HC,NHK Arena
2/15/19,Färjestad BK,HV 71,Färjestad BK-HV 71,Löfbergs Arena
2/15/19,Örebro HK,Djurgårdens IF,Örebro HK-Djurgårdens IF,Behrn Arena
2/16/19,IF Malmö Redhawks,Växjö Lakers HC,IF Malmö Redhawks-Växjö Lakers HC,Malmö Arena
2/16/19,Frölunda HC,Skellefteå AIK,Frölunda HC-Skellefteå AIK,Scandinavium
2/16/19,Mora IK,Luleå HF,Mora IK-Luleå HF,Jalas Arena
2/16/19,Timrå IK,Brynäs IF,Timrå IK-Brynäs IF,NHK Arena
2/16/19,Djurgårdens IF,Örebro HK,Djurgårdens IF-Örebro HK,"Hovet, Johanneshov"
2/16/19,Färjestad BK,Linköping HC,Färjestad BK-Linköping HC,Löfbergs Arena
2/17/19,HV 71,Rögle BK,HV 71-Rögle BK,Kinnarps Arena
2/18/19,IF Malmö Redhawks,Timrå IK,IF Malmö Redhawks-Timrå IK,Malmö Arena
2/20/19,Örebro HK,Linköping HC,Örebro HK-Linköping HC,Behrn Arena
2/20/19,Rögle BK,Färjestad BK,Rögle BK-Färjestad BK,Lindab Arena
2/20/19,Djurgårdens IF,IF Malmö Redhawks,Djurgårdens IF-IF Malmö Redhawks,"Hovet, Johanneshov"
2/21/19,Skellefteå AIK,Luleå HF,Skellefteå AIK-Luleå HF,Skellefteå Kraft Arena
2/21/19,Brynäs IF,HV 71,Brynäs IF-HV 71,Gavlerinken Arena
2/21/19,Timrå IK,Växjö Lakers HC,Timrå IK-Växjö Lakers HC,NHK Arena
2/21/19,Frölunda HC,Mora IK,Frölunda HC-Mora IK,Scandinavium
2/23/19,Rögle BK,Mora IK,Rögle BK-Mora IK,Lindab Arena
2/23/19,Färjestad BK,Timrå IK,Färjestad BK-Timrå IK,Löfbergs Arena
2/23/19,IF Malmö Redhawks,Skellefteå AIK,IF Malmö Redhawks-Skellefteå AIK,Malmö Arena
2/23/19,Linköping HC,Djurgårdens IF,Linköping HC-Djurgårdens IF,Saab Arena
2/23/19,Luleå HF,Frölunda HC,Luleå HF-Frölunda HC,Coop Norrbotten Arena
2/23/19,Örebro HK,Brynäs IF,Örebro HK-Brynäs IF,Behrn Arena
2/23/19,Växjö Lakers HC,HV 71,Växjö Lakers HC-HV 71,Vida Arena
2/26/19,Luleå HF,Rögle BK,Luleå HF-Rögle BK,Coop Norrbotten Arena
2/26/19,Växjö Lakers HC,Djurgårdens IF,Växjö Lakers HC-Djurgårdens IF,Vida Arena
2/26/19,HV 71,Örebro HK,HV 71-Örebro HK,Kinnarps Arena
2/26/19,Timrå IK,Linköping HC,Timrå IK-Linköping HC,NHK Arena
2/26/19,Frölunda HC,IF Malmö Redhawks,Frölunda HC-IF Malmö Redhawks,Scandinavium
2/26/19,Mora IK,Brynäs IF,Mora IK-Brynäs IF,Jalas Arena
2/26/19,Skellefteå AIK,Färjestad BK,Skellefteå AIK-Färjestad BK,Skellefteå Kraft Arena
2/28/19,Frölunda HC,Örebro HK,Frölunda HC-Örebro HK,Scandinavium
2/28/19,Djurgårdens IF,Luleå HF,Djurgårdens IF-Luleå HF,"Hovet, Johanneshov"
2/28/19,Rögle BK,Timrå IK,Rögle BK-Timrå IK,Lindab Arena
2/28/19,Linköping HC,Växjö Lakers HC,Linköping HC-Växjö Lakers HC,Saab Arena
2/28/19,IF Malmö Redhawks,HV 71,IF Malmö Redhawks-HV 71,Malmö Arena
2/28/19,Brynäs IF,Skellefteå AIK,Brynäs IF-Skellefteå AIK,Gavlerinken Arena
3/1/19,Mora IK,Färjestad BK,Mora IK-Färjestad BK,Jalas Arena
3/2/19,Örebro HK,Växjö Lakers HC,Örebro HK-Växjö Lakers HC,Behrn Arena
3/2/19,Linköping HC,IF Malmö Redhawks,Linköping HC-IF Malmö Redhawks,Saab Arena
3/2/19,Timrå IK,Luleå HF,Timrå IK-Luleå HF,NHK Arena
3/2/19,Skellefteå AIK,Brynäs IF,Skellefteå AIK-Brynäs IF,Skellefteå Kraft Arena
3/2/19,Färjestad BK,Mora IK,Färjestad BK-Mora IK,Löfbergs Arena
3/2/19,Rögle BK,Frölunda HC,Rögle BK-Frölunda HC,Lindab Arena
3/2/19,HV 71,Djurgårdens IF,HV 71-Djurgårdens IF,Kinnarps Arena
3/5/19,Djurgårdens IF,Skellefteå AIK,Djurgårdens IF-Skellefteå AIK,"Hovet, Johanneshov"
3/5/19,Växjö Lakers HC,Rögle BK,Växjö Lakers HC-Rögle BK,Vida Arena
3/5/19,Färjestad BK,Brynäs IF,Färjestad BK-Brynäs IF,Löfbergs Arena
3/5/19,Timrå IK,Örebro HK,Timrå IK-Örebro HK,NHK Arena
3/5/19,IF Malmö Redhawks,Mora IK,IF Malmö Redhawks-Mora IK,Malmö Arena
3/5/19,Luleå HF,HV 71,Luleå HF-HV 71,Coop Norrbotten Arena
3/5/19,Frölunda HC,Linköping HC,Frölunda HC-Linköping HC,Scandinavium
3/7/19,Skellefteå AIK,Timrå IK,Skellefteå AIK-Timrå IK,Skellefteå Kraft Arena
3/7/19,Mora IK,Växjö Lakers HC,Mora IK-Växjö Lakers HC,Jalas Arena
3/7/19,Örebro HK,Färjestad BK,Örebro HK-Färjestad BK,Behrn Arena
3/7/19,Brynäs IF,IF Malmö Redhawks,Brynäs IF-IF Malmö Redhawks,Gavlerinken Arena
3/7/19,Rögle BK,Djurgårdens IF,Rögle BK-Djurgårdens IF,Lindab Arena
3/7/19,Linköping HC,Luleå HF,Linköping HC-Luleå HF,Saab Arena
3/8/19,HV 71,Frölunda HC,HV 71-Frölunda HC,Kinnarps Arena
3/9/19,Luleå HF,Linköping HC,Luleå HF-Linköping HC,Coop Norrbotten Arena
3/9/19,Djurgårdens IF,Mora IK,Djurgårdens IF-Mora IK,"Hovet, Johanneshov"
3/9/19,Frölunda HC,HV 71,Frölunda HC-HV 71,Scandinavium
3/9/19,Brynäs IF,Rögle BK,Brynäs IF-Rögle BK,Gavlerinken Arena
3/9/19,Växjö Lakers HC,Färjestad BK,Växjö Lakers HC-Färjestad BK,Vida Arena
3/9/19,Timrå IK,IF Malmö Redhawks,Timrå IK-IF Malmö Redhawks,NHK Arena
3/9/19,Skellefteå AIK,Örebro HK,Skellefteå AIK-Örebro HK,Skellefteå Kraft Arena
3/12/19,Örebro HK,Mora IK,Örebro HK-Mora IK,Behrn Arena
3/12/19,Djurgårdens IF,Frölunda HC,Djurgårdens IF-Frölunda HC,"Hovet, Johanneshov"
3/12/19,Växjö Lakers HC,Skellefteå AIK,Växjö Lakers HC-Skellefteå AIK,Vida Arena
3/12/19,Färjestad BK,Luleå HF,Färjestad BK-Luleå HF,Löfbergs Arena
3/12/19,Linköping HC,Brynäs IF,Linköping HC-Brynäs IF,Saab Arena
3/12/19,Timrå IK,HV 71,Timrå IK-HV 71,NHK Arena
3/12/19,IF Malmö Redhawks,Rögle BK,IF Malmö Redhawks-Rögle BK,Malmö Arena
3/14/19,Luleå HF,Växjö Lakers HC,Luleå HF-Växjö Lakers HC,Coop Norrbotten Arena
3/14/19,Mora IK,Timrå IK,Mora IK-Timrå IK,Jalas Arena
3/14/19,Rögle BK,Skellefteå AIK,Rögle BK-Skellefteå AIK,Lindab Arena
3/14/19,Färjestad BK,Djurgårdens IF,Färjestad BK-Djurgårdens IF,Löfbergs Arena
3/14/19,HV 71,Linköping HC,HV 71-Linköping HC,Kinnarps Arena
3/14/19,IF Malmö Redhawks,Örebro HK,IF Malmö Redhawks-Örebro HK,Malmö Arena
3/14/19,Frölunda HC,Brynäs IF,Frölunda HC-Brynäs IF,Scandinavium
